# key	source_text	translation
# 只写确认来自 DBOZero\pack\lang0.pak 的明面文本。
# translation 会按 GBK/CP936 写入 lang0.pak 的 value bytes。
DST_ITEM_GRADE_MYTHIC	Hakai	破坏
DST_OPTION_CONTROL_ACTION_QUICKSLOT_SUMMON_5	Quick Summon 5	快速召唤5
DST_OPTION_CONTROL_ACTION_QUICKSLOT_SUMMON_6	Quick Summon 6	快速召唤6
DST_OPTION_CONTROL_ACTION_QUICKSLOT_SUMMON_7	Quick Summon 7	快速召唤7
DST_OPTION_CONTROL_ACTION_QUICKSLOT_SUMMON_8	Quick Summon 8	快速召唤8
DST_OPTION_CONTROL_ACTION_TARGET_1STPARTY	Target Member1	目标队员1
DST_OPTION_CONTROL_ACTION_TARGET_2NDPARTY	Target Member2	目标队员2
DST_OPTION_CONTROL_ACTION_TARGET_3RDPARTY	Target Member3	目标队员3
DST_OPTION_CONTROL_ACTION_TARGET_4THPARTY	Target Member4	目标队员4
DST_OPTION_CONTROL_ACTION_TARGET_AUTO	Auto-Target	自动目标
DST_OPTION_CONTROL_ACTION_TARGET_AUTOATK	Auto-Attack	自动攻击
DST_OPTION_CONTROL_ACTION_TARGET_AUTOFOLLOW	Auto-Follow	自动跟随
DST_OPTION_CONTROL_ACTION_TARGET_AUTOPARTY	Target Member	目标队员
DST_OPTION_CONTROL_ACTION_TARGET_MARKING1	Mark1	标记1
DST_OPTION_CONTROL_ACTION_TARGET_MARKING2	Mark2	标记2
DST_OPTION_CONTROL_ACTION_TARGET_MARKING3	Mark3	标记3
DST_OPTION_CONTROL_ACTION_TARGET_MARKING4	Mark4	标记4
DST_OPTION_CONTROL_ACTION_TARGET_MARKING5	Mark5	标记5
DST_OPTION_CONTROL_ACTION_TARGET_SELECTING1	Target Mark1	目标标记1
DST_OPTION_CONTROL_ACTION_TARGET_SELECTING2	Target Mark2	目标标记2
DST_OPTION_CONTROL_ACTION_TARGET_SELECTING3	Target Mark3	目标标记3
DST_OPTION_CONTROL_ACTION_TARGET_SELECTING4	Target Mark4	目标标记4
DST_OPTION_CONTROL_ACTION_TARGET_SELECTING5	Target Mark5	目标标记5
DST_OPTION_CONTROL_ACTION_TARGET_SELF	Target Self	目标自己
DST_OPTION_CONTROL_ACTION_WINDOW_DWC	DWC	DWC
DST_OPTION_CONTROL_ACTION_WINDOW_FRIEND	Friends List	好友列表
DST_OPTION_CONTROL_ACTION_WINDOW_GUILD	Guild Window	公会窗口
DST_OPTION_CONTROL_ACTION_WINDOW_HELP	Help	帮助
DST_OPTION_CONTROL_ACTION_WINDOW_HOIPOIMIX	HoiPoi Mix	合成
DST_OPTION_CONTROL_ACTION_WINDOW_MAIN	Main Menu	主菜单
DST_OPTION_CONTROL_ACTION_WINDOW_MAINCAP	Bag	包
DST_OPTION_CONTROL_ACTION_WINDOW_MASCOT	Pets	宠物
DST_OPTION_CONTROL_ACTION_WINDOW_MINIMAP	Minimap	小地图
DST_OPTION_CONTROL_ACTION_WINDOW_OPTION	Options	选项
DST_OPTION_CONTROL_ACTION_WINDOW_PARTY	Party Info	队伍信息
DST_OPTION_CONTROL_ACTION_WINDOW_PROFILE	Character	角色
DST_OPTION_CONTROL_ACTION_WINDOW_QUEST	Quests	任务
DST_OPTION_CONTROL_ACTION_WINDOW_RANKBOARD	Rank Board	排行榜
DST_OPTION_CONTROL_ACTION_WINDOW_SCOUTER	Scouter	史考特
DST_OPTION_CONTROL_ACTION_WINDOW_SKILL	Skills	技能
DST_OPTION_CONTROL_ACTION_WINDOW_WORLDMAP	Worldmap	世界图
DST_OPTION_CONTROL_CATEGORY_AVATAR	Character	角色
DST_OPTION_CONTROL_CATEGORY_FIXED	Other	其他
DST_OPTION_CONTROL_CATEGORY_QUICKSLOT	Skill Slots	技能栏
DST_OPTION_CONTROL_CATEGORY_TARGET	Target	目标
DST_OPTION_CONTROL_CATEGORY_WINDOW	Window	窗口
DST_OPTION_CONTROL_TEXT_CHANGEGUIDE	Key %s is used by %s, change to %s.	键%s被%s占用,改为%s
DST_OPTION_CONTROL_TEXT_EMPTYKEY	None	无
DST_OPTION_CONTROL_TEXT_FIXEDKEYGUIDE	Can't be changed	不可更改
DST_OPTION_CONTROL_TEXT_GUIDE	Duplicates found: %s	重复按键:%s
DST_OPTION_CONTROL_TEXT_NEGATIVEMODEGUIDE	Wrong Key	错误键
DST_OPTION_CONTROL_TEXT_NEGATIVE_BY_OTHER	Key is already being used.	按键已被占用。
DST_OPTION_CONTROL_TEXT_NOTCHANGEGUIDE	%s can't be changed	%s不可更改
DST_OPTION_CONTROL_TEXT_NOTCOMBINEGUIDE	Can't use Key	不能用键
DST_OPTION_CONTROL_TEXT_READYGUIDE	Please input the key you desire.	请输入按键。
DST_OPTION_CONTROL_TEXT_SAMEKEYGUIDE	No duplicate Keys	无重复键
DST_OPTION_CONTROL_TEXT_TITLE	Control	控制
DST_OPTION_CONTROL_TEXT_WAITGUIDE	No changes.	无变化。
DST_OPTION_TAB_DROP_FILTER	Drop Filter	掉落
DST_OPTION_TAB_DROP_SELL	Drop Sell	出售
DST_OPTION_DROPFILTER_TITLE_ITEMS	Items	物品
DST_OPTION_DROPFILTER_TITLE_STONES	Stones	石头
DST_OPTION_DROPFILTER_NORMAL	Normal	普通
DST_OPTION_DROPFILTER_SUPERIOR	Superior	优质
DST_OPTION_DROPFILTER_EXCELENT	Excelent	特级
DST_OPTION_DROPFILTER_RARE	Rare	稀有
DST_OPTION_DROPFILTER_LEGENDARY	Legendary	传说
DST_OPTION_DROPFILTER_DRAGONBALL	DragonBall	龙珠
DST_OPTION_DROPFILTER_JUNK	Event Items	活动物品
DST_OPTION_DROPFILTER_RECOVER	Recover Items	恢复物品
DST_OPTION_DROPFILTER_FOOD	Food Items	食物
DST_OPTION_DROPFILTER_UTILITY	Utility Items	工具物品
DST_OPTION_DROPFILTER_AUTOCOLLECT	Auto-Collect	自动拾取
DST_OPTION_DROPFILTER_WEAPONUPGRADE	Weapon Stone	武器石
DST_OPTION_DROPFILTER_ARMORUPGRADE	Armor Stone	防具石
DST_OPTION_DROPFILTER_WEAPONGREATERUPGRADE	Weapon Greater Stone	武器大石
DST_OPTION_DROPFILTER_ARMORGREATERUPGRADE	Armor Greater Stone	防具大石
DST_OPTION_DROPFILTER_WEAPONDOWNGRADE	Weapon Downgrade Stone	武器降级石
DST_OPTION_DROPFILTER_ARMORDOWNGRADE	Armor Downgrade Stone	防具降级石
DST_OPTION_DROPFILTER_STONECORE	White Stone	白石
DST_OPTION_DROPFILTER_TOOLTIP_NORMAL	Filter Normal Items	过滤普通物品
DST_OPTION_DROPFILTER_TOOLTIP_SUPERIOR	Filter Superior Items	过滤优质物品
DST_OPTION_DROPFILTER_TOOLTIP_EXCELENT	Filter Excelent Items	过滤特级物品
DST_OPTION_DROPFILTER_TOOLTIP_RARE	Filter Rare Items 	过滤稀有物品
DST_OPTION_DROPFILTER_TOOLTIP_LEGENDARY	Filter Legendary Items 	过滤传说物品
DST_OPTION_DROPFILTER_TOOLTIP_DRAGONBALL	Filter Legendary Items 	过滤龙珠物品
DST_OPTION_DROPFILTER_TOOLTIP_RECOVER	Filter Recover Items 	过滤恢复物品
DST_OPTION_DROPFILTER_TOOLTIP_FOOD	Filter Food Items 	过滤食物
DST_OPTION_DROPFILTER_TOOLTIP_UTILITY	Filter Utility Items 	过滤工具物品
DST_OPTION_DROPFILTER_TOOLTIP_WEAPONUPGRADE	Filter Weapon Stone	过滤武器石
DST_OPTION_DROPFILTER_TOOLTIP_ARMORUPGRADE	Filter Armor Stone	过滤防具石
DST_OPTION_DROPFILTER_TOOLTIP_WEAPONGREATERUPGRADE	Filter Weapon Greater Stone	过滤武器大石
DST_OPTION_DROPFILTER_TOOLTIP_ARMORGREATERUPGRADE	Filter Armor Greater Stone	过滤防具大石
DST_OPTION_DROPFILTER_TOOLTIP_WEAPONDOWNGRADE	Filter Weapon Downgrade Stone	过滤武器降级石
DST_OPTION_DROPFILTER_TOOLTIP_ARMORDOWNGRADE	Filter Armor Downgrade Stone	过滤防具降级石
DST_OPTION_DROPFILTER_TOOLTIP_STONECORE	Filter White Stone	过滤白石
DST_OPTION_DROPFILTER_TOOLTIP_AUTOCOLLECT	Auto-Collect Items	自动拾取物品
DST_OPTION_ETC_EX_QUICKSLOT1	Extended Bar 1	扩展栏1
DST_OPTION_ETC_EX_QUICKSLOT2	Extended Bar 2	扩展栏2
DST_OPTION_ETC_EX_QUICKSLOT_LOCK	Lock Bars	锁栏
DST_OPTION_ETC_FOV	FOV	FOV
DST_OPTION_ETC_FRIENDCONNECT	Friend Connection Info	好友上线信息
DST_OPTION_ETC_GUILDCONNECT	Guild Login	公会上线
DST_OPTION_ETC_MOUSEDASH	Mouse Dash Interval	鼠标冲刺间隔
DST_OPTION_ETC_QUESTEFFECT	Quest Text Effects	任务文字效果
DST_OPTION_ETC_SELF_TARGET_APPLY	Self casting	自己施法
DST_OPTION_ETC_USERTRADE	Trade	交易
DST_OPTION_ETC_VIEW_POINT	Point	视点
DST_OPTION_ETC_WINDOWMOVE	Lock Windows	锁窗口
DST_OPTION_ETC_WINDOWMOVE_DEFAULT	Default Window Positions	默认窗口位置
DST_OPTION_GMT_TAB	Bonus	加成
DST_OPTION_GRAPHIC_CARTOON_EDGE	Cell Shading	卡通描边
DST_OPTION_GRAPHIC_CHARACTER_EFFECT	Character Effects	角色效果
DST_OPTION_GRAPHIC_CHARACTER_RANGE	Player Range	玩家距离
DST_OPTION_GRAPHIC_CHARACTER_SHADOW	Player Shadows	玩家阴影
DST_OPTION_GRAPHIC_ETC_TITLE	Other Effects	其他效果
DST_OPTION_GRAPHIC_GAMMA	Gamma	亮度
DST_OPTION_GRAPHIC_HDR_EFFECT	HDR FX	HDR
DST_OPTION_GRAPHIC_PERFORMANCE_MODE	Performance Mode	性能模式
DST_OPTION_PERF_PLAYER_FILTER	Player Filter:	玩家过滤:
DST_OPTION_PERF_PLAYER_FILTER_ALL	Show All	显示全部
DST_OPTION_PERF_PLAYER_FILTER_HIDE_ALL	Hide All	隐藏全部
DST_OPTION_PERF_PLAYER_FILTER_PARTY	Party Only	仅队伍
DST_OPTION_PERF_PLAYER_FILTER_GUILD	Guild Only	仅公会
DST_OPTION_PERF_PLAYER_FILTER_FRIENDS	Friends Only	仅好友
DST_OPTION_PERF_PLAYER_FILTER_PARTY_GUILD	Party + Guild	队伍+公会
DST_OPTION_PERF_PLAYER_FILTER_ALL_SOCIAL	Party + Guild + Friends	队伍+公会+好友
DST_OPTION_PERF_HIDE_MASCOT	Hide Mascots/Pets	隐藏宠物
DST_OPTION_PERF_HIDE_PLAYER_EFFECTS	Hide Player Effects	隐藏玩家效果
DST_OPTION_GRAPHIC_MAGIC_EFFECT	Spell Effects	技能效果
DST_OPTION_GRAPHIC_QUALITY_HIGH	High	高
DST_OPTION_GRAPHIC_QUALITY_LOW	Low	低
DST_OPTION_GRAPHIC_QUALITY_MIDDLE	Medium	中
DST_OPTION_GRAPHIC_QUALITY_OBJECT_RANGE	Object Distance	物体距离
DST_OPTION_GRAPHIC_QUALITY_TERRAIN_RANGE	Terrain Distance	地形距离
DST_OPTION_GRAPHIC_QUALITY_TOTAL	Total	整体
DST_OPTION_GRAPHIC_QUALITY_USER	Custom	自定义
DST_OPTION_GRAPHIC_RESOLUTION	Resolution	分辨率
DST_OPTION_GRAPHIC_RESOLUTION_TITLE	Resolution	分辨率
DST_OPTION_GRAPHIC_TERRAIN_SHADOW	Object Shadows	物体阴影
DST_OPTION_GRAPHIC_TEXTURE_QUALITY	Texture Quality	贴图质量
DST_OPTION_GRAPHIC_TITLE	Quality	画质
DST_OPTION_GRAPHIC_UPGRADE_EFFECT	Upgrade Effects	强化效果
DST_OPTION_GRAPHIC_WATER_EFFECT	Water Effects	水面效果
DST_OPTION_GRAPHIC_WEATHER_EFFECT	Weather Effects	天气效果
DST_OPTION_GRAPHIC_WINDOWMODE	Windowed Mode	窗口模式
DST_OPTION_INFO_ACHAR_NAME	Show your name	显示名称
DST_OPTION_INFO_AGGRO_MODE	Show your agro	显示仇恨
DST_OPTION_INFO_COSTUME_RENDER	Show Costumes	显示时装
DST_OPTION_INFO_DAMAGE_RENDER	Combat info	战斗信息
DST_OPTION_INFO_DOJOMARK	Show Dojo Mark	显示道场标志
DST_OPTION_INFO_DROPITEM_OWNERSHIP	Show loot Icon	显示掉落图标
DST_OPTION_INFO_GUILDEMBLEM	Guild Emblem	公会徽章
DST_OPTION_INFO_SCOUTERMODEL	Show Scouter	显示史考特
DST_OPTION_INFO_TOOLTIP_ACHAR_NAME	Display Names.	显示名称。
DST_OPTION_INFO_TOOLTIP_AGGRO	Display Agro values.	显示仇恨值。
DST_OPTION_INFO_TOOLTIP_DAMAGE_RENDER	Display all combat info	显示战斗信息
DST_OPTION_INFO_TOOLTIP_DROPITEM_OWNERSHIP	Show the loot Icon	显示掉落图标
DST_OPTION_KIT_ITEM_EMPTY_TOOLTIP	Place your item here.	把物品放这里。
DST_OPTION_OK	Apply	应用
DST_OPTION_OKEFFECT	Apply Only Effect	仅应用效果
DST_OPTION_RADIO_OFF	Off	关
DST_OPTION_RADIO_ON	On	开
DST_OPTION_RESET	Default	默认
DST_OPTION_SOUND_BGM	Background Music	背景音乐
DST_OPTION_SOUND_ENV	Environment Sound	环境音
DST_OPTION_SOUND_MAIN	Main Volume	主音量
DST_OPTION_SOUND_SE	Sound Effects	音效
DST_OPTION_TAB_GAME	Game	游戏
DST_OPTION_TAB_GAME_CHATTING	Chat	聊天
DST_OPTION_TAB_GAME_CONTROL	Controls	控制
DST_OPTION_TAB_GAME_ETC	Other	其他
DST_OPTION_TAB_GAME_INFO	Info	信息
DST_OPTION_TAB_SYSTEM	System	系统
DST_OPTION_TAB_SYSTEM_EFFECT	FX	FX
DST_OPTION_TAB_SYSTEM_GRAPHIC	GFX	GFX
DST_OPTION_TAB_SYSTEM_SOUND	Sound	声音
DST_OPTION_TITLE	Options	选项
DST_OPTION_TOOLTIP_BGMVOLUME	Background Volume	背景音量
DST_OPTION_TOOLTIP_CARTOON_EDGE	Cartoon Outline Yes/No	卡通描边开关
DST_OPTION_TOOLTIP_CHARACTER_DISTANCE	Far or Near Viewing Distance	调整视野距离
DST_OPTION_TOOLTIP_CHAT_ADDED2_WINDOW	Add 2nd Chat Window	增加第2聊天窗
DST_OPTION_TOOLTIP_CHAT_ADDED_WINDOW	Separate Chat Window	分离聊天窗口
DST_OPTION_TOOLTIP_CHAT_GUILD	Guild Chat	公会聊天
DST_OPTION_TOOLTIP_CHAT_INPUTMODE	Chat Prompt	聊天提示
DST_OPTION_TOOLTIP_CHAT_LOCK	Chat Window Lock	锁定聊天窗口
DST_OPTION_TOOLTIP_CHAT_MOUSESCROLL	Mouse Scroll in Chat Window Active or Not	鼠标滚动聊天开关
DST_OPTION_TOOLTIP_CHAT_NORMAL	Chat Normal	普通聊天
DST_OPTION_TOOLTIP_CHAT_PARTY	Party Chat	队伍聊天
DST_OPTION_TOOLTIP_CHAT_PARTY_SEARCH	Party Search Chat	队伍搜索聊天
DST_OPTION_TOOLTIP_CHAT_SHOUT	Shout Chat	喊话聊天
DST_OPTION_TOOLTIP_CHAT_SYSTEM	System Chat	系统聊天
DST_OPTION_TOOLTIP_CHAT_TRADE	Trade Chat	交易聊天
DST_OPTION_TOOLTIP_CHAT_WHISPER	Chat Whisper	密语聊天
DST_OPTION_TOOLTIP_CHAT_WINDOW_OPACITY	Opacity	透明度
DST_OPTION_TOOLTIP_DOJO_MARK	Show Dojo Mark	显示道场标志
DST_OPTION_TOOLTIP_EFFECTVOLUME	Effect Volume	音效音量
DST_OPTION_TOOLTIP_ENVVOLUME	Environment Volume	环境音量
DST_OPTION_TOOLTIP_EX_QUICKSLOT1	Activate Quickbar 1	启用快捷栏1
DST_OPTION_TOOLTIP_EX_QUICKSLOT2	Activate Quickbar 2	启用快捷栏2
DST_OPTION_TOOLTIP_FOV	Adjust Angle	调整角度
DST_OPTION_TOOLTIP_FRIEND_CONNECT	Shows when a Friend Connects	显示好友上线
DST_OPTION_TOOLTIP_GAMMA	Change Brightness (Full Screen)	调整亮度(全屏)
DST_OPTION_TOOLTIP_GRAPHIC_QUALITY	Overall Graphic Quality	整体画质
DST_OPTION_TOOLTIP_GUILD_EMBLEM	Show Guild Emblem	显示公会徽章
DST_OPTION_TOOLTIP_HDR	Set HDR Effects	设置HDR效果
DST_OPTION_TOOLTIP_MAGIC_DETAIL	Set Skill Effects Quality	设置技能效果质量
DST_OPTION_TOOLTIP_MAINVOLUME	Main Volume	主音量
DST_OPTION_TOOLTIP_MEMBER_CONNECT	Shows when a Member connects	显示成员上线
DST_OPTION_TOOLTIP_MOUSE_DASH	Double click to dash.	双击冲刺。
DST_OPTION_TOOLTIP_OBJECT_DISTANCE	Object Distance	物体距离
DST_OPTION_TOOLTIP_QUEST_TEXT	Instant Quest Text	即时任务文字
DST_OPTION_TOOLTIP_QUICKSLOT_LOCK	Lock Quickbar	锁快捷栏
DST_OPTION_TOOLTIP_RESOLUTION	Change Resolution	更改分辨率
DST_OPTION_TOOLTIP_SCOUTER	Indicate Power Level of other Beings	显示他人战斗力
DST_OPTION_TOOLTIP_SELF_TARGET_APPLY	Hold Shift to target yourself.	按Shift选自己。
DST_OPTION_TOOLTIP_SHADOW	Character Shadows	角色阴影
DST_OPTION_TOOLTIP_TAB_CHATTING	In-game Chat Option	游戏聊天选项
DST_OPTION_TOOLTIP_TAB_CONTROL	Game Options	游戏选项
DST_OPTION_TOOLTIP_TAB_ETC	Other Options	其他选项
DST_OPTION_TOOLTIP_TAB_GRAPHIC	Graphics	图形
DST_OPTION_TOOLTIP_TAB_INFO	Info Display	信息显示
DST_OPTION_TOOLTIP_TAB_SOUND	Sound Options	声音选项
DST_OPTION_TOOLTIP_TERRAIN_DISTANCE	Terrain Distance	地形距离
DST_OPTION_TOOLTIP_TERRAIN_SHADOW	Shadow of Terrain	地形阴影
DST_OPTION_TOOLTIP_TEXTURE_LEVEL	Set Texture Level	设置贴图等级
DST_OPTION_TOOLTIP_TRADE	Decline Trades	拒绝交易
DST_OPTION_TOOLTIP_UPGRADE_EFFECT	Glow Upgrade Effects	强化发光效果
DST_OPTION_TOOLTIP_VIEW_POINT	Adjust View	调整视角
DST_OPTION_TOOLTIP_WATER_EFFECT	Effects of Water	水面效果
DST_OPTION_TOOLTIP_WEATHER_EFFECT	Set Weather Effects Quality	设置天气效果质量
DST_OPTION_TOOLTIP_WINDOWMODE	Fullscreen or Windowed	全屏或窗口
DST_OPTION_TOOLTIP_WINDOW_DEFAULT	Set All Windows to Default Location	窗口恢复默认位置
DST_OPTION_TOOLTIP_WINDOW_MOVEABLE	Lock the Windows	锁定窗口
DST_OPTION_CONTROL_ACTION_WINDOW_SCOUTERUI	Scouter UI	史考特UI
# AUTO_BLOCK_LANG0_OPTION_MENU_INFO_BOT_20260608_END

# AUTO_BLOCK_LANG0_POPUP_MENU_20260608_BEGIN
DST_POPUPMENU_PARTY_INVITE	Invite to Party	邀请组队
DST_POPUPMENU_GUILD_INVITE	Invite to Guild	邀请公会
DST_POPUPMENU_USER_TRADE	Trade	交易
DST_POPUPMENU_FRIEND_ADD	Add Friend	加好友
DST_POPUPMENU_PVP_REQUEST_FIGHT	Duel	决斗
DST_POPUPMENU_FOLLOW	Follow	跟随
DST_POPUPMENU_SEND_WHISPER	Whisper	密语
DST_POPUPMENU_USER_BLOCK	Block	屏蔽
DST_SCOUTER_CHECK_MENU_EQUIPMENT	Scan Equipment	查看装备
DST_POPUPMENU_CANCEL	Cancel	取消
# AUTO_BLOCK_LANG0_POPUP_MENU_20260608_END

# AUTO_BLOCK_LANG0_LONG_TEXT_20260608_BEGIN
DST_LOBBY_WAIT_GAME_SERVER_CONNECT	[align = "center"][font size = "12" color="f4d762"]Loading Game[/font][br][br][font size = "10" color="269eff"]Too many players joining the game.[/font][br][br][font size = "10" color="f4d762"]Players in Queue: %d[/font][br][br][font size = "10" color="ffffff"]Please wait...[/font]	[align = "center"][font size = "12" color="f4d762"]正在进入游戏[/font][br][br][font size = "10" color="269eff"]当前进入游戏的玩家过多。[/font][br][br][font size = "10" color="f4d762"]排队人数: %d[/font][br][br][font size = "10" color="ffffff"]请稍候...[/font]
DST_SCS_LOGIN_ALERT	[align = "center"][font size = "12" color="f4d762"]Bot Check Required[/font][br][br][font size = "9" color="ffffff"]To receive experience and item drops,[br]you must complete the Bot Verification.[br][br]Complete it once for 1 hour of immunity![/font]	[align = "center"][font size = "12" color="f4d762"]需要防挂机验证[/font][br][br][font size = "9" color="ffffff"]若要获得经验和物品掉落，[br]必须完成防挂机验证。[br][br]完成一次后1小时内免验证！[/font]
DST_TELEPORT_COMMON_CONFIRM_MSG	[align = "center"][font size = "12" color="f4d762"]Time to move[/font][br][br][font size = "10" color="269eff"]You can teleport when you want.[/font][br][br][font size = "10" color="f4d762"]%s[/font][br][font size = "10" color="ffffff"]Yes: Teleport to this place[br]No: Don't teleport now[/font][br][br][font size = "10" color="ffffff"]Want to Teleport?[br][/font]	[align = "center"][font size = "12" color="f4d762"]传送确认[/font][br][br][font size = "10" color="269eff"]你可以选择是否传送。[/font][br][br][font size = "10" color="f4d762"]%s[/font][br][font size = "10" color="ffffff"]是: 传送到此处[br]否: 暂不传送[/font][br][br][font size = "10" color="ffffff"]要传送吗？[br][/font]
DST_TELEPORT_COMMON_CONFIRM_YES_BTN	Yes	是
DST_TELEPORT_COMMON_CONFIRM_NO_BTN	No	否
DST_MSG_REMAIN_TIME	Time: %s	时间: %s
DST_TIME_SECOND	 Sec	 秒
# AUTO_BLOCK_LANG0_LONG_TEXT_20260608_END

DST_PVP_ZONE_ENTER	PvP Zone entered.	进入PvP区域。
DST_PVP_ZONE_LEFT	PvP Zone left.	离开PvP区域。

DST_HUMAN_FIGHTER	Martial Artist	武道家
DST_HUMAN_MYSTIC	Spiritualist	气功师
DST_NAMEK	Namek	那美
DST_NAMEK_FIGHTER	Warrior	战士
DST_NAMEK_MYSTIC	Dragon Clan	龙族
DST_SKILL_TAB_ACTION_SKILL	Action Skills	动作技能
DST_SKILL_WINDOW_TITLE	Skills	技能

# AUTO_BLOCK_LANG0_MARKET_20260608_BEGIN
DST_MAILSYSTEM_MAIL_MARKET	World Markets	世界市场
DST_MARKET_ACCESSORY	Accessory	饰品
DST_MARKET_ACCESSORY1	Accessory 1	配件1
DST_MARKET_ACCESSORY2	Accessory 2	配件2
DST_MARKET_ACCESSORY3	Accessory 3	配件3
DST_MARKET_ALLCATEGORY	All	全
DST_MARKET_ALLCLASS	All Classes	全职业
DST_MARKET_ALLTYPE	All	全
DST_MARKET_ARMOR	Armor	防具
DST_MARKET_BLACK_STONE	Black Stone	黑石
DST_MARKET_BUY	[align = "center"][font size = "12" color="f4d762"]Auction Purchase[/font][br][br][font size = "10" color="269eff"]The following items:[/font][br][br][font size = "10" color="ffffff"]%s[br]Price: %s Zeni[/font][br][br][font size = "10" color="f36a7c"]Purchase this Item?[/font][br]	[align = "center"][font size = "12" color="f4d762"]购买确认[/font][br][br][font size = "10" color="269eff"]以下物品:[/font][br][br][font size = "10" color="ffffff"]%s[br]价格: %s 索[/font][br][br][font size = "10" color="f36a7c"]是否购买?[/font][br]
DST_MARKET_BUYITEM_CLICK	Select Items to Buy	选择要买的物品
DST_MARKET_BUYTEXT	Buy	买
DST_MARKET_CAPSULE_KIT	Capsule Kit	胶囊套装
DST_MARKET_CHANGETYPE	Switch Between Buying & Selling	切换买卖
DST_MARKET_CONSOLE_MACHINE	Auction House	拍卖行
DST_MARKET_DOJO	Dojo	道场
DST_MARKET_DOWNGRADE_STONE_ARMOR	Armor Downgrade	防具降级
DST_MARKET_DOWNGRADE_STONE_WEAPON	Weapon Downgrade	武器降级
DST_MARKET_ENDTIME	72Hrs	72时
DST_MARKET_ENDTIME_INFO	72Hr Left	剩72时
DST_MARKET_ENDTIME_SECOND	48 hours	48小时
DST_MARKET_ENDTIME_THIRED	72 hours	72小时
DST_MARKET_ETC	Other	其他
DST_MARKET_EXCELLENTTYPE	Excellent	特级
DST_MARKET_EXP_BUFF	EXP Buff	经验增益
DST_MARKET_FOOD	Food	食物
DST_MARKET_FORGET_BOOK	Skill Reset Book	技能重置书
DST_MARKET_FORGET_BOOKPLUS	Skill Reset Book+	技能重置书+
DST_MARKET_GRADE	Rate	品级
DST_MARKET_GREATER_UPGRADE_STONE_ARMOR	Armor Upgrade(High)	高级防具强化石
DST_MARKET_GREATER_UPGRADE_STONE_WEAPON	Weapon Upgrade (High)	高级武器强化石
DST_MARKET_GROVE_KNUCKLE	Glove	手套
DST_MARKET_INPUT_NAME	Search	搜索
DST_MARKET_ITEMNAME	Item Name	物品名
DST_MARKET_ITEM_BUY_NOT_SEARCH	Item can't be found	未找到物品
DST_MARKET_ITEM_NOT_SERACH	No Search Criteria	无搜索条件
DST_MARKET_ITEM_SERACH_NOTRESULT	Results are shown	已显示结果
DST_MARKET_LAST_TIME	Time Left	剩余时间
DST_MARKET_LEFT	Last	上页
DST_MARKET_LEGENDARYTYPE	Legendary	传说
DST_MARKET_LEVEL_NOT_SERACH	Enter Correct Level Range	请输入正确等级范围
DST_MARKET_MAINCATEGORY_INFO	Choose Main Category	选择主分类
DST_MARKET_MASCOT	Pets	宠物
DST_MARKET_MASCOT_FOOD	Pet Food	宠物粮
DST_MARKET_MAXLEVEL	Max. Level	最高等级
DST_MARKET_MAX_DURITME	Repair First	请先修理
DST_MARKET_MINLEVEL	Min. Level	最低等级
DST_MARKET_NAME	Name	名称
DST_MARKET_NEW_FOOD	New Food	新食物
DST_MARKET_NORMALTYPE	Normal	普通
DST_MARKET_NORMAL_STONE	Normal Stone	普通石
DST_MARKET_NOT_SERACH	Contains characters that can't be retrieved	含有无法检索的字符
DST_MARKET_PRICE	Price	价格
DST_MARKET_PURE_STONE	Pure stone	纯石
DST_MARKET_RARETYPE	Rare	稀有
DST_MARKET_RECIPE	Recipe	配方
DST_MARKET_RECIPE_ITEM	Recipe	配方
DST_MARKET_REFRESH	Refresh	刷新
DST_MARKET_REGISTRATION	Register	上架
DST_MARKET_RESORATIVE	Restore	恢复
DST_MARKET_RESORATIVE_ITEM	Restore	恢复
DST_MARKET_RIGHT	Next	下页
DST_MARKET_SCOUTER	Scouter	史考特
DST_MARKET_SCOUTER_MAIN	Chip	芯片
DST_MARKET_SCOUTER_PART	Upgrade	升级
DST_MARKET_SEARCH_ITEM	Select the category, enter a search term,press search	选择分类，输入关键词，然后搜索
DST_MARKET_SELL	[align = "center"][font size = "12" color="f4d762"]Auction Sale[/font][br][br][font size = "10" color="269eff"]You are now selling an item.[/font][br][br][font size = "10" color="ffffff"]Item(s): %d[br]Fee to Sell: %s Zeni[/font][br][br][font size = "10" color="f36a7c"]Put Item on Sale?[/font][br]	[align = "center"][font size = "12" color="f4d762"]出售确认[/font][br][br][font size = "10" color="269eff"]你正在出售物品。[/font][br][br][font size = "10" color="ffffff"]物品数: %d[br]手续费: %s 索[/font][br][br][font size = "10" color="f36a7c"]是否上架?[/font][br]
DST_MARKET_SELLER	Seller	卖家
DST_MARKET_SELLITEM_CANCEL	Click 'Cancel' to Cancel the Auction	点取消可取消拍卖
DST_MARKET_SELLTEXT	Sell	出售
