来源	文件	位置	原文	参考译文	填写中文	长度状态
UI	lang0.pak	DST_COMMERCIAL_MB_ITEM_MOVE_CONFIRM_MSG	"[align = ""center""][font size = ""12"" color=""f4d762""]Confirm Move[/font][br][br][font size = ""10"" color=""269eff""]The selected items will be moved to the inventory.[/font][br][br][font size = ""10"" color=""ffffff""]Move your items?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]确认移动[/font][br][br][font size = ""10"" color=""269eff""]已选择道具将移动到背包。[/font][br][br][font size = ""10"" color=""ffffff""]移动你的道具？[/font]"	ok
UI	lang0.pak	DST_COMMERCIAL_MB_ITEM_TAKE_CONFIRM_MSG	"[align = ""center""][font size = ""12"" color=""f4d762""]Moving items[/font][br][br][font size = ""10"" color=""269eff""]Move the selected item to the capsule kit.[/font][br][br][font size = ""10"" color=""f36a7c""]When moved into the capsule kit[br]and the same item already exists[br]the durability get increased.[/font][br][br][font size = ""10"" color=""ffffff""]Are you sure you want to move an item?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]移动道具[/font][br][br][font size = ""10"" color=""269eff""]将选中道具移动到胶囊工具包。[/font][br][br][font size = ""10"" color=""f36a7c""]移动到胶囊工具包后[br]如果已有相同道具[br]耐久度会增加。[/font][br][br][font size = ""10"" color=""ffffff""]确定要移动道具吗？[/font]"	ok
UI	lang0.pak	DST_COMMERCIAL_MB_ITEM_TERM_EXTENTION_BTN	Renewal		续期	ok
UI	lang0.pak	DST_COMMERCIAL_MB_QUICK_TELEPORT_SLOT_DELETE	"[align = ""center""][font size=""12""color=""f4d762""]Teleport[/font][br][br][font size=""10""color=""ffffff""]Delete this Slot?[/font]"		"[align = ""center""][font size=""12""color=""f4d762""]传送[/font][br][br][font size=""10""color=""ffffff""]删除此栏位？[/font]"	ok
UI	lang0.pak	DST_COMMERCIAL_MB_QUICK_TELEPORT_SLOT_MOVE	"[align = ""center""][font size=""12""color=""f4d762""]Teleport[/font][br][br][font size=""10""color=""ffffff""]Teleport to saved location?[/font]"		"[align = ""center""][font size=""12""color=""f4d762""]传送[/font][br][br][font size=""10""color=""ffffff""]传送到保存位置？[/font]"	ok
UI	lang0.pak	DST_COMMERCIAL_MB_QUICK_TELEPORT_SLOT_OVERWRITE	"[align = ""center""][font size=""12""color=""f4d762""]Teleport[/font][br][br][font size=""10""color=""ffffff""]Overwrite this Slot?[/font]"		"[align = ""center""][font size=""12""color=""f4d762""]传送[/font][br][br][font size=""10""color=""ffffff""]覆盖此栏位？[/font]"	ok
UI	lang0.pak	DST_COMMERCIAL_MB_QUICK_TELEPORT_SLOT_WRITE	"[align = ""center""][font size=""12""color=""f4d762""]Teleport[/font][br][br][font size=""10""color=""ffffff""]Save location to slot?[/font]"		"[align = ""center""][font size=""12""color=""f4d762""]传送[/font][br][br][font size=""10""color=""ffffff""]将位置保存到栏位？[/font]"	ok
UI	lang0.pak	DST_COMMERCIAL_MB_TERM_EXTENTION	"[align = ""center""][font size = ""12"" color=""f4d762""]Item Expiration[/font][br][br][font size = ""10"" color=""269eff""]The item's time limit has expired.[/font][/font][br][br][font size = ""10"" color=""ffffff""]Pay to extend it's use?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]道具期限到期[/font][br][br][font size = ""10"" color=""269eff""]该道具时限已到期。[/font][/font][br][br][font size = ""10"" color=""ffffff""]支付费用延长使用时间？[/font]"	ok
UI	lang0.pak	DST_COMMERCIAL_MB_TERM_EXTENTION_BTN	Renewal		续期	ok
UI	lang0.pak	DST_COMMERCIAL_MB_TERM_OR_BUY_SELECT_CONFIRM_BTN	Renewal		续期	ok
UI	lang0.pak	DST_COMMERCIAL_MB_TERM_OR_BUY_SELECT_CONFIRM_MSG	"[align = ""center""][font size = ""12"" color=""f4d762""]Renew Item[/font][br][br][font size = ""10"" color=""ffffff""]Renew the item?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]续期道具[/font][br][br][font size = ""10"" color=""ffffff""]续期该道具？[/font]"	ok
UI	lang0.pak	DST_COMMERCIAL_MB_UPDATE_TERM_LIMETED_ITEM_BTN	Renew		续期	ok
UI	lang0.pak	DST_COMMERCIAL_MB_UPDATE_TERM_LIMETED_ITEM_MSG	"[align = ""center""][font size = ""12"" color=""f4d762""]Renew Item[/font][br][br][font size = ""10"" color=""269eff""]You can extend the duration of the item.[/font][br][br][font size = ""10"" color=""f4d762""]Period of %s has expired.[br]It can be extended.[/font][br][br][font size = ""10"" color=""ffffff""]Purchase the extension now?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]道具续期[/font][br][br][font size = ""10"" color=""269eff""]可以延长该道具的使用期限。[/font][br][br][font size = ""10"" color=""f4d762""]%s 的期限已到，[br]可以进行续期。[/font][br][br][font size = ""10"" color=""ffffff""]现在购买续期吗？[/font]"	ok
UI	lang0.pak	DST_COMMERCIAL_MB_USE_TERM_LIMETED_ITEM_MSG	"[align = ""center""][font size = ""12"" color=""f4d762""]Renew Item[/font][br][br][font size = ""10"" color=""269eff""]You can extend the duration of the item.[/font][br][br][font size = ""10"" color=""f4d762""]Period of %s has expired.[br]It can be extended.[/font][br][br][font size = ""10"" color=""ffffff""]Purchase the extension now?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]道具续期[/font][br][br][font size = ""10"" color=""269eff""]可以延长该道具的使用期限。[/font][br][br][font size = ""10"" color=""f4d762""]%s 的期限已到，[br]可以进行续期。[/font][br][br][font size = ""10"" color=""ffffff""]现在购买续期吗？[/font]"	ok
UI	lang0.pak	DST_COMMERCIAL_NO_EXIST_TERM_LIMETED_ITEM	Can't extend		无法延长	ok
UI	lang0.pak	DST_COMMERCIAL_REFILL_CASH	Charge		充值	ok
UI	lang0.pak	DST_COMMERCIAL_SKILL_POINT_RESET_MSG	"[align = ""center""]SP Reset[br][br]All Skills will be Reset[br][br]Use Item: %s [br]SP Saved: %u[br]Refund: 120,000 Zeni [br][br]Learn skill[br]Refund Zeni for all that you relearn[br]No SP needed for Reset.[br][br]Reset SP[br]"		"[align = ""center""]SP重置[br][br]所有技能将被重置[br][br]使用道具：%s [br]保存SP：%u[br]返还：120,000 索尼 [br][br]学习技能[br]重新学习时返还所有索尼[br]重置不需要SP。[br][br]重置SP[br]"	ok
UI	lang0.pak	DST_COMMERCIAL_SKILL_POINT_RESET_PLUS_MSG	"[align = ""center""][font size = ""12"" color=""f4d762""]SP Reset[/font][br][br][font size = ""10"" color=""269eff""]All Skills will reset.[/font][br][br][font size = ""10"" color=""f36a7c""]Item used: %s[/font][br][font size = ""10"" color=""f4d762""]Saved SP: %u[/font][br][br][font size = ""10"" color=""f36a7c""]Skills without SP don't reset.[/font][br][br][font size = ""10"" color=""ffffff""]Reset Skills now?[font][br] "		"[align = ""center""][font size = ""12"" color=""f4d762""]SP重置[/font][br][br][font size = ""10"" color=""269eff""]所有技能将重置。[/font][br][br][font size = ""10"" color=""f36a7c""]道具使用：%s[/font][br][font size = ""10"" color=""f4d762""]保存 SP：%u[/font][br][br][font size = ""10"" color=""f36a7c""]技能不使用SP执行不重置。[/font][br][br][font size = ""10"" color=""ffffff""]重置技能现在？[font][br] "	ok
UI	lang0.pak	DST_COMMERCIAL_TERM_LIMETED_ITEM_EXPIRE	%s Expired and Use is Suspended		%s 已过期，使用已暂停	ok
UI	lang0.pak	DST_COMMERCIAL_TERM_LIMITED_ITEM_WARNING_MSG	%s is about to expire.		%s 即将到期。	ok
UI	lang0.pak	DST_COMMERCIAL_TMQRECORD	New TMQ Record: %s TMQ %s mode %s by %s.		新TMQ记录：%s TMQ %s 模式 %s 由 %s.	ok
UI	lang0.pak	DST_COMMERCIAL_USE_CRESCENT_POPO	Popostone Used		波波石已使用	ok
UI	lang0.pak	DST_COMMERCIAL_USE_GUILD_NAME_CHANGE_ITEM	Guild Name Changed		公会名称已更改	ok
UI	lang0.pak	DST_COMMERCIAL_USE_SKILL_POINT_RESET_ITEM	Item used to reset SP		道具使用重置SP	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_BUY_DURATION	Renewal		续期	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_ADD_TIME	Add Time		添加时间	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_BUY_Q1	Extend Time?		延长时间？	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_CASH_BUY_WARN_DESC1	This item can be Extended		此道具可以延长	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_CASH_EXTEND_Q	Extend the Item?		延长该道具？	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_CONSUME_CASH	CC Cash cost		CC现金费用	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_CONSUME_JENNY	Zeni Used		扣除索尼	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_CONSUME_NETPHY	Token used		代币使用	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_EXTEND_Q	Extend Item?		延长道具？	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_INFO	Remaining Time %s		剩余时间 %s	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_INFO_BELOW_HOUR	Less Than 1 Hour		低于 1 小时	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_OWNED_CASH	CC Cash owned		CC现金拥有	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_OWNED_JENNY	Zeni Owned		持有索尼	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_OWNED_NETPHY	Tokens owned		拥有代币	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMETED_ITEM_REMIAN_TIME	Remaining time		剩余时间	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMITED_ITEM_BUY_SELECT	Choose Item		选择道具	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMITED_ITEM_BUY_TITLE	Buy		买	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMITED_ITEM_DURATION	Duration		持续时间	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMITED_ITEM_EXPIRED_INFO	Expired		已过期	ok
UI	lang0.pak	DST_COMMERCIAL_USE_TERM_LIMITED_ITEM_TITLE	Renew		续期	ok
UI	lang0.pak	DST_COMMERCIAL_WAGU1ST	%s got a %s from the Wagu Machine		%s 已 %s 来自 Wagu 机器	ok
UI	lang0.pak	DST_COMMON_WAREHOUSE_ADD_DURATION	Share Guild Warehouse %dday %dhour extended		分享公会仓库 %d天 %d小时延长	ok
UI	lang0.pak	DST_COMMON_WAREHOUSE_EXPIRED	Guild Warehouse Expired		公会仓库已过期	ok
UI	lang0.pak	DST_COMMON_WAREHOUSE_REMAIN_TIME	Remaining: 		剩余: 	ok
UI	lang0.pak	DST_COMMUNITY_NAME	Guild		公会	ok
UI	lang0.pak	DST_COMMU_TARGET_FRIEND	Friends		好友	ok
UI	lang0.pak	DST_COMMU_TARGET_GUILD	Guild		公会	ok
UI	lang0.pak	DST_COMMU_TARGET_PARTY	Party		队伍	ok
UI	lang0.pak	DST_CONFIRM_LEAVE_CCBD_TO_DOJO_SCRAMBLE	You'll leave the dungeon and party		你将离开副本和队伍	ok
UI	lang0.pak	DST_CONFIRM_LEAVE_CCBD_TO_OTHER_ONE	You'll leave the dungeon and party		你将离开副本和队伍	ok
UI	lang0.pak	DST_CONNECTSHOP_TITLE	Remote Stores		远程商店	ok
UI	lang0.pak	DST_CONNECT_MAILBOX	Mailbox Access		邮箱访问	ok
UI	lang0.pak	DST_CONTRACT_ACCEPT	Accept		接受	ok
UI	lang0.pak	DST_CONTRACT_NOT_ACCEPT	Reject		拒绝	ok
UI	lang0.pak	DST_CONTRACT_PLEASE_READ	Accept		接受	ok
UI	lang0.pak	DST_CONTRACT_TITLE	Game Policies		游戏政策	ok
UI	lang0.pak	DST_CONTROL_HELPWND_TITLE	See Instruction		查看说明	ok
UI	lang0.pak	DST_COSTUME_SHOP_ITEMSWAP_BUY_CONFIRM	"[align = ""center""][font size = ""12"" color = ""f4d762""]%s[/font][br][br][font size = ""10"" color = ""ffffff""]You are going to buy [/font][font size = ""10"" color = ""f4d762""]%s x %d[/font][font size = ""10"" color = ""ffffff""]Are you sure about this?[/font][/align]"		"[align = ""center""][font size = ""12"" color = ""f4d762""]%s[/font][br][br][font size = ""10"" color = ""ffffff""]你已到购买 [/font][font size = ""10"" color = ""f4d762""]%s %d[/font][font size = ""10"" color = ""ffffff""]确定即将此？[/font][/align]"	ok
UI	lang0.pak	DST_COSTUME_SHOP_NEED_MORE_COSTUME_COIN	Not enough COSTUME Coin		服装币不足	ok
UI	lang0.pak	DST_COSTUME_SHOP_TITLE_NAME	Custom Store		定制商店	ok
UI	lang0.pak	DST_DATA_LOADING	Loading		读取中	ok
UI	lang0.pak	DST_DAY	Day		天	ok
UI	lang0.pak	DST_DBC_ALREADY_USE_ALTAR	The altar is in use.		是在使用。	ok
UI	lang0.pak	DST_DBC_COLLECT_COMPLETE	Dragon Ball Rewards		龙珠奖励	ok
UI	lang0.pak	DST_DBC_DRAGONBALL_NOT_FOUND	Dragon Ball not found.		未找到龙珠。	ok
UI	lang0.pak	DST_DBC_ITEM_BACK	Return		退回	ok
UI	lang0.pak	DST_DBC_ITEM_CONFIRM	Do you want this item?		确定要选择该道具吗？	ok
UI	lang0.pak	DST_DBC_KEYWORD	Order		顺序	ok
UI	lang0.pak	DST_DBC_NOT_DRAGONBALL	Not a Dragon Ball		不龙珠	ok
UI	lang0.pak	DST_DBC_NOT_ENOUGH	Missing a Dragon Ball		缺少龙珠	ok
UI	lang0.pak	DST_DBC_NOT_KEYWORD	Enter Text to Summon Shenron		输入文本召唤神龙	ok
UI	lang0.pak	DST_DBC_NOT_SAME	Check Dragon Ball		确认龙珠	ok
UI	lang0.pak	DST_DBC_NOT_SAME_NUMBER	Double Number		双数量	ok
UI	lang0.pak	DST_DBC_NO_SEASON	Dragon Ball Collection Period isn't in progress		龙珠收集期间尚未开始	ok
UI	lang0.pak	DST_DBC_REWARD_COMMENT	All Dragon Balls collected, make a wish.		全部龙球，想要。	ok
UI	lang0.pak	DST_DBC_SCRAMBLE_CANNOT_REWARD_SEASON_IS_END	Scramble has Ended, Please wait for the next Event		争夺战已结束，请等待用于下一活动	ok
UI	lang0.pak	DST_DBC_SEASON	Dragon Ball Collection Period is in progress		龙珠收集期间进行中	ok
UI	lang0.pak	DST_DBC_TIME_LIMIT	Limited Time		限定时间	ok
UI	lang0.pak	DST_DELIBERATION_RANK_FIRST_ENTER_GAME_MESSAGE_WARING_1	Long term playtime may be harmful to your health.  You should take regular breaks.		长被到你的。你应该。	ok
UI	lang0.pak	DST_DELIBERATION_RANK_MESSAGE_0	Since the start, %d time has elapsed.		自开始以来，已经过 %d 次。	ok
UI	lang0.pak	DST_DELIBERATION_RANK_MESSAGE_1	You have played for 1 Hour		你已用于 1 小时	ok
UI	lang0.pak	DST_DELIBERATION_RANK_MESSAGE_2	You have played for 2 Hours		你已用于 2 小时	ok
UI	lang0.pak	DST_DELIBERATION_RANK_MESSAGE_3	You have played for 3 Hours		你已用于 3 小时	ok
UI	lang0.pak	DST_DELIBERATION_RANK_MESSAGE_4	You have played for 4 Hours		你已用于 4 小时	ok
UI	lang0.pak	DST_DELIBERATION_RANK_MESSAGE_5	You have played for 5 Hours		你已用于 5 小时	ok
UI	lang0.pak	DST_DELIBERATION_RANK_MESSAGE_LASTMSG	Excessive play can disturb their daily life.		过度游戏会影响日常生活。	ok
UI	lang0.pak	DST_DELIBERATION_RANK_MESSAGE_WARING_1	You should take a break		你应该中断	ok
UI	lang0.pak	DST_DELIBERATION_RANK_TEXT_IN_LOGIN	Your need to be at least 12 years old to play this game.		你必须年满12岁才能游玩本游戏。	ok
UI	lang0.pak	DST_DIALOG_MODE_CHAT_RESIZING	Chat Resize		聊天缩放	ok
UI	lang0.pak	DST_DIALOG_MODE_ITEM_IDENTIFICATION	Select Items		选择道具	ok
UI	lang0.pak	DST_DIALOG_MODE_ITEM_REPAIR	Item(s) Repaired		道具() 已修理	ok
UI	lang0.pak	DST_DIALOG_RESET	The reset limit for now is 10.		重置限制用于现在是 10.	ok
UI	lang0.pak	DST_DICE_BUDOKAI_MINOR_EXPLAIN	The Dice will Roll		将掷骰子	ok
UI	lang0.pak	DST_DICE_EXPLAIN	1-99 will Show		1-99 将显示	ok
UI	lang0.pak	DST_DICE_EXPLAIN2	Click on the Dice		点击在骰子	ok
UI	lang0.pak	DST_DICE_RESULT	%s(dice) :%s		%s(骰子)：%s	ok
UI	lang0.pak	DST_DISABLE	Not		不	ok
UI	lang0.pak	DST_DISASSEMBLE_ALREADY_DISASSEMBLING	Already decomposed		已经	ok
UI	lang0.pak	DST_DISASSEMBLE_ALREADY_REGIST_TARGET	Item already Registered		道具已报名	ok
UI	lang0.pak	DST_DISASSEMBLE_CAN_NOT_FIND_TARGET	Register to degrade target item		报名到目标道具	ok
UI	lang0.pak	DST_DISASSEMBLE_CLOSE	Close		关闭	ok
UI	lang0.pak	DST_DISASSEMBLE_GET_MATERIAL	Get Materials		获得材料	ok
UI	lang0.pak	DST_DISASSEMBLE_GRADE_ALRAM	"[align = ""center""][font size = ""12"" color=""f4d762""]Disassemble items[/font][br][br][font size = ""10"" color=""ffffff""]Are you sure you want to disassemble[br]the enhanced item?[/font][br][br][font size = ""10"" color=""dd0010""]It can't be recovered.[br][br][/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]分解道具[/font][br][br][font size = ""10"" color=""ffffff""]确定要分解[br]已强化的道具吗？[/font][br][br][font size = ""10"" color=""dd0010""]分解后无法恢复。[br][br][/font]"	ok
UI	lang0.pak	DST_DISASSEMBLE_MATERIAL_LEVEL	Level		等级	ok
UI	lang0.pak	DST_DISASSEMBLE_MATERIAL_MAX_CLASS	Max rating		最大评级	ok
UI	lang0.pak	DST_DISASSEMBLE_MATERIAL_MAX_CLASS_RATE	Chances of obtaining the maximum rating:%.2f%%		获得最高评级的几率：%.2f%%	ok
UI	lang0.pak	DST_DISASSEMBLE_MATERIAL_TYPE	Kind		种类	ok
UI	lang0.pak	DST_DISASSEMBLE_MATERIAL_TYPE_ETC	Other		其他	ok
UI	lang0.pak	DST_DISASSEMBLE_MATERIAL_TYPE_FABRIC	Fabric		布料	ok
UI	lang0.pak	DST_DISASSEMBLE_MATERIAL_TYPE_METAL	Metal		金属	ok
UI	lang0.pak	DST_DISASSEMBLE_MATERIAL_TYPE_SKIN	Skin		皮肤	ok
UI	lang0.pak	DST_DISASSEMBLE_MATERIAL_TYPE_STONE	Stone		石	ok
UI	lang0.pak	DST_DISASSEMBLE_MATERIAL_TYPE_WOOD	Wood		木材	ok
UI	lang0.pak	DST_DISASSEMBLE_NEGATIVE	Not Converted		未转换	ok
UI	lang0.pak	DST_DISASSEMBLE_ONLY_EQUIP_ITEM	Can't be disassembled		无法	ok
UI	lang0.pak	DST_DISASSEMBLE_SUCCESS	Disassemble succeed.		分解。	ok
UI	lang0.pak	DST_DISASSEMBLE_TARGET	Target disassemble		目标分解	ok
UI	lang0.pak	DST_DISASSEMBLE_TITLE	Material Degradation		材料分解	ok
UI	lang0.pak	DST_DISCARD_BTN	Trash		丢弃	ok
UI	lang0.pak	DST_DOGI_ASK_APPLY_CHANGE	"[align =""center""][font size=""12""color=""f4d762""]Uniform dyeing[/font][br][br][font size=""10""color=""ffffff""]Would you like to end uniform staining?[/font]"		"[align =""center""][font size=""12""color=""f4d762""]道服染色[/font][br][br][font size=""10""color=""ffffff""]是否结束道服染色？[/font]"	ok
UI	lang0.pak	DST_DOGI_CHANGED	The color has changed.		颜色已更改。	ok
UI	lang0.pak	DST_DOGI_COLOR	Color		颜色	ok
UI	lang0.pak	DST_DOGI_EXPAIN_DYE	Can't show a preview		无法显示预览	ok
UI	lang0.pak	DST_DOGI_MUST_REGI_DOGI_SLOT	Register the dye.		报名染色。	ok
UI	lang0.pak	DST_DOGI_ONLY_REGISTER_DYE_ITEM	Only registered dye items.		专用已报名染色道具。	ok
UI	lang0.pak	DST_DOGI_PREVIEW	Preview		预览	ok
UI	lang0.pak	DST_DOGI_SETUP	Dyeing		染色	ok
UI	lang0.pak	DST_DOGI_YOU_MUST_GET_DOGI_CHANGE_FUNCTION	Make sure that you've permission.		请确认你拥有权限。	ok
UI	lang0.pak	DST_DOGI_YOU_MUST_GET_DOGI_FUNCTION	Make sure that you've permission.		请确认你拥有权限。	ok
UI	lang0.pak	DST_DOGI_YOU_MUST_GET_DOJO_DOGI_CHANGE_FUNCTION	Make sure that you've permission.		请确认你拥有权限。	ok
UI	lang0.pak	DST_DOGI_YOU_MUST_GET_DOJO_DOGI_FUNCTION	Make sure that you've permission.		请确认你拥有权限。	ok
UI	lang0.pak	DST_DOJO	Dojo		道场	ok
UI	lang0.pak	DST_DOJO_ACCEPTED_SCRAMBLE	Dojo Scramble Accept		道场争夺战接受	ok
UI	lang0.pak	DST_DOJO_ACCOUNT_AMOUNT	Total		整体	ok
UI	lang0.pak	DST_DOJO_ACCOUNT_BALANCE	Balance		余额	ok
UI	lang0.pak	DST_DOJO_ACCOUNT_EXPENDITURE	Usage		支出	ok
UI	lang0.pak	DST_DOJO_ACCOUNT_ITEM	For		给	ok
UI	lang0.pak	DST_DOJO_ACCOUNT_TYPE_BATTLE_INCOME	Battle Deposit		战斗存入	ok
UI	lang0.pak	DST_DOJO_ACCOUNT_TYPE_BATTLE_OUTCOME	Battle Withdraw		战斗取出	ok
UI	lang0.pak	DST_DOJO_ACCOUNT_TYPE_LEADER_INCOME	Deposit		存入	ok
UI	lang0.pak	DST_DOJO_ACCOUNT_TYPE_LEADER_OUTCOME	Withdraw		取出	ok
UI	lang0.pak	DST_DOJO_ACCOUNT_TYPE_VILLAGE_INCOME	Donate		捐献	ok
UI	lang0.pak	DST_DOJO_ACCOUNT_WAREHOUSE	Guild Bank		公会银行	ok
UI	lang0.pak	DST_DOJO_ADD_FUNCTION	"[align = ""center""][font size = ""12"" color=""f4d762""]%s[/font][br][br][font size = ""10"" color=""269eff""]Get more benefits from more features.[/font][br][br][font size = ""10"" color=""ffffff""]Requirements:[/font][br][br][font size = ""10"" color=""f36a7c""]Points needed: %d [br]Zeni: %s[/font][br][br][font size = ""10"" color=""ffffff""]Add Feature?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]%s[/font][br][br][font size = ""10"" color=""269eff""]功能越多，获得的福利越多。[/font][br][br][font size = ""10"" color=""ffffff""]需求：[/font][br][br][font size = ""10"" color=""f36a7c""]需要点数：%d [br]索尼：%s[/font][br][br][font size = ""10"" color=""ffffff""]添加功能？[/font]"	ok
UI	lang0.pak	DST_DOJO_ADD_FUNCTION_NOTIFY_TO_MASTER	"[align = ""center""][font size = ""12"" color=""f4d762""]Change[/font][br][br][font size = ""10"" color=""269eff""]Successful![/font][br][br]font size = ""10"" color=""ffffff""]Changes:[/font][br][br][font size = ""10"" color=""f4d762""]Feature: %s[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]更改[/font][br][br][font size = ""10"" color=""269eff""]成功！[/font][br][br]font size = ""10"" color=""ffffff""]变更：[/font][br][br][font size = ""10"" color=""f4d762""]功能：%s[/font]"	ok
UI	lang0.pak	DST_DOJO_ADD_FUNCTION_NOTIFY_TO_MEMBER	Dojo Feature Changed.		道场功能已更改。	ok
UI	lang0.pak	DST_DOJO_ADD_TENKAI_SEED	"[align = ""center""][font size = ""12"" color=""f4d762""]Tournament Players[/font][br][br][font size = ""10"" color=""269eff""]Players who prove to be the best.[br]Will go to the 32 qualification spots[br]Fight to Qualify.[/font][br][br][font size = ""10"" color=""ffffff""]All players[br]Check the following:[/font][br][br][font size = ""10"" color=""f36a7c""]This is the best Tournament[br]in the world.[/font][br][br][font size = ""10"" color=""ffffff""]So you better make sure[br]You're here![/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]锦标赛选手[/font][br][br][font size = ""10"" color=""269eff""]证明自己最强的玩家。[br]将进入32个资格席位[br]通过战斗取得资格。[/font][br][br][font size = ""10"" color=""ffffff""]所有玩家[br]请确认以下内容：[/font][br][br][font size = ""10"" color=""f36a7c""]这是最强锦标赛[br]在世界范围内。[/font][br][br][font size = ""10"" color=""ffffff""]所以请确认[br]你已经在这里！[/font]"	ok
UI	lang0.pak	DST_DOJO_ASK_ESTABLISHMENT	"[align = ""center""][font size = ""12"" color=""f4d762""]Dojo Creation[/font][br][br][font size = ""10"" color=""269eff""]Dojo Creation[br]The members in the Dojo[br]are responsible to[br]keep the Dojo safe.[br][br]When the Dojo is made[br]you get special content and benefits.[/font][br][br][font size = ""10"" color=""ffffff""]To get a Dojo:[/font][br][br][font size = ""10"" color=""f36a7c""]Dojo Ownership[br](buy with points)[/font][br][br][font size = ""10"" color=""ffffff""]Buy a Dojo?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]道场创建[/font][br][br][font size = ""10"" color=""269eff""]道场创建[br]成员在道场[br]是到[br]道场安全。[br][br]当道场是建成[br]你获得特殊和。[/font][br][br][font size = ""10"" color=""ffffff""]到获得道场:[/font][br][br][font size = ""10"" color=""f36a7c""]道场所有权[br](购买使用点数)[/font][br][br][font size = ""10"" color=""ffffff""]购买道场？[/font]"	ok
UI	lang0.pak	DST_DOJO_ASK_SCRAMBLE	Dojo Scramble		道场争夺战	ok
UI	lang0.pak	DST_DOJO_ASK_UPGRAGE_WITH_ZENNY	"[align = ""center""][font size = ""12"" color=""f4d762""]Dojo Upgrade[/font][br][br][font size = ""10"" color=""269eff""]Upgrade Dojo[br]If management upgrade[br]You can add special features[/font][br][br][font size = ""10"" color=""ffffff""]Click ok to pay[/font][br][br]font size = ""10"" color=""f36a7c""]Zeni: %s[/font][br][br][font size = ""10"" color=""ffffff""]Upgrade Dojo?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]道场升级[/font][br][br][font size = ""10"" color=""269eff""]升级道场后，[br]可开启更多特殊功能。[/font][br][br][font size = ""10"" color=""ffffff""]点击确定支付费用。[/font][br][br]font size = ""10"" color=""f36a7c""]索尼：%s[/font][br][br][font size = ""10"" color=""ffffff""]要升级道场吗？[/font]"	ok
UI	lang0.pak	DST_DOJO_ASK_UPGRAGE_WITH_ZENNY_AND_HOIPOI	"[align = ""center""][font size = ""12"" color=""f4d762""]Dojo Upgrade[/font][br][br][font size = ""10"" color=""269eff""]Upgrade Dojo[br]If management upgrade[br]You can add special features.[/font][br][br][font size = ""10"" color=""ffffff""]Click ok to use the item.[/font][br][br][font size = ""10"" color=""f36a7c""]Zeni: %s [br]Items : HoiPoi %d [/font][br][br][font size = ""10"" color=""ffffff""]Upgrade Dojo?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]道场升级[/font][br][br][font size = ""10"" color=""269eff""]升级道场后，[br]可开启更多特殊功能。[/font][br][br][font size = ""10"" color=""ffffff""]点击确定使用道具。[/font][br][br][font size = ""10"" color=""f36a7c""]索尼：%s [br]道具：HoiPoi %d [/font][br][br][font size = ""10"" color=""ffffff""]要升级道场吗？[/font]"	ok
UI	lang0.pak	DST_DOJO_BATTLE_APPLICATION_FOR_BATTLE	Apply		应用	ok
UI	lang0.pak	DST_DOJO_BATTLE_DUEL_DEFFENCE_PLAYER	Def		守	ok
UI	lang0.pak	DST_DOJO_BATTLE_DULE_OFFENCE_PLAYER	Duel		决斗	ok
